optimizer,lr,weight_decay,batch_size,epochs,final_train_loss,final_val_loss
muon,3e-05,0.01,64,5,39.185627719812224,39.04687826974051
muon,3e-05,0.1,16,5,23.670682392949644,23.67023805471567
muon,3e-05,0.1,32,5,31.731382768050484,31.626922607421875
muon,3e-05,0.1,64,5,39.29483132613333,39.44171306065151
muon,0.0001,0.0,16,5,15.8697841602823,15.864091909848726
muon,0.0001,0.0,32,5,18.987515590501868,18.941987697894756
muon,0.0001,0.0,64,5,23.563598097416392,23.57382038661412
muon,0.0001,0.0001,16,5,16.20593267938365,16.196659051454983
muon,0.0001,0.0001,32,5,18.966320867123812,18.861873626708984
muon,0.0001,0.0001,64,5,23.75619978653757,23.683609008789062
muon,0.0001,0.001,16,5,15.811161754442297,15.835890036362867
muon,0.0001,0.001,32,5,19.066459207949432,19.043374134944035
muon,0.0001,0.001,64,5,24.56786038582785,24.495099203927175
muon,0.0001,0.01,16,5,15.859469708152439,15.89001750946045
muon,0.0001,0.01,32,5,18.496809072079866,18.48344318683331
muon,0.0001,0.01,64,5,24.427191851431864,24.403026580810547
muon,0.0001,0.1,16,5,16.265407881529434,16.229658200190617
muon,0.0001,0.1,32,5,19.432198947408924,19.346720181978664
muon,0.0001,0.1,64,5,23.9869631382457,23.866547175816127
muon,0.0003,0.0,16,5,10.221959541154945,10.222380491403433
muon,0.0003,0.0,32,5,13.363884544372558,13.341311968289888
muon,0.0003,0.0,64,5,17.14886963158323,17.06745774405343
muon,0.0003,0.0001,16,5,10.242526410973591,10.238238114577074
muon,0.0003,0.0001,32,5,13.21204025434411,13.185317553006685
muon,0.0003,0.0001,64,5,16.802936855115387,16.76560320172991
muon,0.0003,0.001,16,5,10.312281708095385,10.293654111715464
muon,0.0003,0.001,32,5,13.514555259372877,13.454690713148851
muon,0.0003,0.001,64,5,17.356751257913153,17.33108683994838
muon,0.0003,0.01,16,5,10.214810217981753,10.243184933295616
muon,0.0003,0.01,32,5,13.298221496913744,13.2631715627817
muon,0.0003,0.01,64,5,17.471876010560152,17.574361528669083
muon,0.0003,0.1,16,5,10.164447556371274,10.198466300964355
muon,0.0003,0.1,32,5,13.500314820331075,13.485286345848671
muon,0.0003,0.1,64,5,16.97522748980606,16.956402914864675
muon,0.001,0.0,16,5,8.352379662057627,8.378749150496263
muon,0.001,0.0,32,5,8.643384460780931,8.657763334421011
muon,0.001,0.0,64,5,10.526589259766697,10.568553652082171
muon,0.001,0.0001,16,5,8.355266707876455,8.379261860480675
